iter	MultiClass
261	0.9319797158
262	0.9314257791
263	0.9310686258
264	0.9305573026
265	0.9303151339
266	0.9300547424
267	0.9296394731
268	0.9292184379
269	0.9287001105
270	0.9285505393
271	0.9281661106
272	0.9278732218
273	0.9277428225
274	0.9275404035
275	0.9271874029
276	0.9266115138
277	0.9260618634
278	0.9257314836
279	0.9252784926
280	0.9250200747
281	0.924682819
282	0.9243478376
283	0.9241520134
284	0.9233823057
285	0.9227949971
286	0.9226111441
287	0.9221239016
288	0.9214517261
289	0.9209915145
290	0.9205196995
291	0.9202548623
292	0.9198074701
293	0.9194557153
294	0.9190270449
295	0.918555622
296	0.9179185753
297	0.9174062086
298	0.9169003951
299	0.9165443808
300	0.9161536032
301	0.9155246253
302	0.9152902924
303	0.9146670933
304	0.9141323581
305	0.9138767788
306	0.9134619728
307	0.9127538997
308	0.9123532464
309	0.9121282899
310	0.9116814866
311	0.9114245991
312	0.9110432618
313	0.9107404177
314	0.9099242068
315	0.9093501711
316	0.909114374
317	0.9089049136
318	0.9087665835
319	0.9079095158
320	0.9072584668
321	0.906861281
322	0.9064560513
323	0.9062121386
324	0.9056327296
325	0.9052998957
326	0.904856072
327	0.9045346919
328	0.9041691486
329	0.9037719581
330	0.9035358705
331	0.9033094576
332	0.9028070707
333	0.9025143586
334	0.902242128
335	0.9019811997
336	0.9014631067
337	0.9012905306
338	0.9009895688
339	0.9006747841
340	0.9002260925
341	0.8996004109
342	0.8989574919
343	0.8985340945
344	0.8982667234
345	0.8979849086
346	0.8977504978
347	0.8974674754
348	0.8966912841
349	0.8963456997
350	0.8955333634
351	0.8953905081
352	0.895024746
353	0.8948035984
354	0.894518228
355	0.8941619328
356	0.8938445936
357	0.8934683681
358	0.8930991813
359	0.892941346
360	0.8924685828
361	0.8920670687
362	0.8918140548
363	0.89146726
364	0.8908358553
365	0.890561842
366	0.8901725961
367	0.8898047592
368	0.8892509202
369	0.888862699
370	0.8884175095
371	0.8881497414
372	0.8878896556
373	0.8875492336
374	0.8871783699
375	0.8868738891
376	0.8866168365
377	0.8864287041
378	0.8862550736
379	0.8859699772
380	0.8857266026
381	0.8853260759
382	0.8848010265
383	0.8843203132
384	0.8840822874
385	0.8837752764
386	0.883532512
387	0.8833038014
388	0.8829799491
389	0.8825638609
390	0.8821818967
391	0.8817584986
392	0.8814826137
393	0.8810643775
394	0.8807280207
395	0.8804322143
396	0.8802448553
397	0.8800162545
398	0.8797240884
399	0.8795874738
400	0.8791597719
401	0.8788581927
402	0.8785602261
403	0.8783738332
404	0.8782296519
405	0.8781087908
406	0.8777399661
407	0.8773207775
408	0.8769679639
409	0.8765891312
410	0.8762980009
411	0.8761324081
412	0.8757241747
413	0.8755668292
414	0.8753764246
415	0.8750596671
416	0.8747253796
417	0.8742997414
418	0.8738345466
419	0.8735589072
420	0.8731844909
421	0.8729061065
422	0.8726848154
423	0.871985824
424	0.871718702
425	0.8713553075
426	0.8711933939
427	0.8708862882
428	0.8705804163
429	0.8702375305
430	0.8701187564
431	0.8697778373
432	0.8695199413
433	0.8693138652
434	0.8690938704
435	0.8684876843
436	0.8682118283
437	0.8676949919
438	0.8672109591
439	0.8670533877
440	0.8669044325
441	0.8667559776
442	0.8664234886
443	0.8662258771
444	0.8658910155
445	0.8656822021
446	0.8654450539
447	0.8651641884
448	0.8648798453
449	0.8645922658
450	0.8643973251
451	0.8639290921
452	0.8635317335
453	0.8632186938
454	0.8628355016
455	0.862240881
456	0.8619768864
457	0.8617761586
458	0.8615396258
459	0.8612351463
460	0.8608119688
461	0.8605051344
462	0.8601414291
463	0.8599733765
464	0.8596715609
465	0.8593928695
466	0.8592268922
467	0.8589025183
468	0.8586082348
469	0.858379383
470	0.8581376442
471	0.8577356616
472	0.8575280606
473	0.8572599046
474	0.8569580703
475	0.8566489567
476	0.856451886
477	0.856106864
478	0.8558510216
479	0.8556385889
480	0.855486812
481	0.8553149156
482	0.8551695111
483	0.8548678687
484	0.8545370017
485	0.8542286601
486	0.8541597573
487	0.8540920123
488	0.8537739426
489	0.8534465831
490	0.8533445771
491	0.8524938246
492	0.8521867544
493	0.8518382993
494	0.8517620838
495	0.8514523219
496	0.851231367
497	0.85094749
498	0.8508331525
499	0.8505638967
500	0.8504213341
501	0.8502667154
502	0.8501156151
503	0.8496647698
504	0.8494840038
505	0.8492993222
506	0.8489726327
507	0.8486720984
508	0.8483239912
509	0.8480623141
510	0.8479156933
511	0.8476758664
512	0.8472746093
513	0.8471306423
514	0.8468912079
515	0.8465502406
516	0.8463076823
517	0.8462075753
518	0.8459497102
519	0.8457059527
520	0.8456054898
521	0.8452869376
522	0.8451792931
523	0.844754237
524	0.8446321648
525	0.8444368212
526	0.8443069188
527	0.8438922258
528	0.8438219191
529	0.8433924974
530	0.8431795132
531	0.8429455573
532	0.8426812876
533	0.8424361942
534	0.8421940655
535	0.8418078395
536	0.8414648648
537	0.841024056
538	0.840662931
539	0.8405221866
540	0.8402797397
541	0.8401775311
542	0.8399206548
543	0.8394979541
544	0.8390952043
545	0.8388834128
546	0.8386638718
547	0.8385426869
548	0.8383915129
549	0.8381537391
550	0.8379960452
551	0.8373547074
552	0.8370939273
553	0.8369339203
554	0.8367374034
555	0.8365907668
556	0.8365493631
557	0.836294346
558	0.8361529866
559	0.8359809457
560	0.8358499346
561	0.8356841504
562	0.8353983673
563	0.8350774476
564	0.8348275983
565	0.834498272
566	0.8341802524
567	0.8339589232
568	0.8337183953
569	0.8333038474
570	0.8330764802
571	0.832876117
572	0.8327236913
573	0.8324514871
574	0.8321314566
575	0.8319683929
576	0.831564712
577	0.8311910615
578	0.8309147921
579	0.8306802875
580	0.8303481445
581	0.8302531102
582	0.8299590843
583	0.8298589722
584	0.8296971655
585	0.8295275129
586	0.8293526995
587	0.8292493992
588	0.8290317313
589	0.8288910729
590	0.8287881433
591	0.8284121989
592	0.8281461698
593	0.8279954896
594	0.8278157064
595	0.8277539528
596	0.8273502377
597	0.8270254084
598	0.8269020549
599	0.8268082708
600	0.8265368174
601	0.8261900293
602	0.8259763404
603	0.8257925264
604	0.8255311679
605	0.8251255323
606	0.8247781295
607	0.8244781465
608	0.8242405061
609	0.8241139412
610	0.8240294744
611	0.8235437867
612	0.823242534
613	0.8230349724
614	0.8229174504
615	0.8227488972
616	0.8225676891
617	0.8224131719
618	0.8222129019
619	0.8218797332
620	0.8216636154
621	0.8215459576
622	0.8214426588
623	0.8213517301
624	0.8211272391
625	0.8209598444
626	0.8208490021
627	0.8205036522
628	0.8203893347
629	0.8202272467
630	0.8200491998
631	0.8198318697
632	0.8196857496
633	0.8192767222
634	0.8191539685
635	0.8189935046
636	0.8187592774
637	0.8187215323
638	0.8183999694
639	0.818186953
640	0.8181428578
641	0.8178075372
642	0.8176622424
643	0.8175861882
644	0.8174393686
645	0.817194373
646	0.8170688803
647	0.8168072788
648	0.8164242756
649	0.8161900412
650	0.8156836606
651	0.8155009356
652	0.8150759908
653	0.8146039702
654	0.814278611
655	0.8140480892
656	0.8140009651
657	0.8137687152
658	0.8135102551
659	0.8134039002
660	0.8130207155
661	0.8127233775
662	0.8125972631
663	0.8124397816
664	0.8122645059
665	0.8120606298
666	0.8118293664
667	0.8116214417
668	0.8115331147
669	0.8114737812
670	0.8112778631
671	0.810919659
672	0.8106599652
673	0.8104519705
674	0.8102609174
675	0.8099590981
676	0.8098393477
677	0.8095347568
678	0.8091591239
679	0.8090723302
680	0.8087791363
681	0.8086654434
682	0.808389785
683	0.8080914044
684	0.808006686
685	0.8077880792
686	0.807387964
687	0.8072096185
688	0.807117453
689	0.80705082
690	0.806786706
691	0.8067403515
692	0.8066200559
693	0.8065571295
694	0.8064373895
695	0.8062954951
696	0.8060715992
697	0.8058357749
698	0.8056836669
699	0.8054330466
